epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.67384,0.82297,3.1639,1.15671,0.00347,1,0.62073,0.5775,0.37865,2.81284,0.8764,0.00013336,0.00013336,0.00013336
2,9.93621,0.77061,2.54974,1.13753,0.00334,1,0.7314,0.63159,0.59081,2.4207,0.97252,0.000280584,0.000280584,0.000280584
3,13.4375,0.74734,1.78962,1.05563,1,0.36934,0.86058,0.71128,0.67582,2.10295,1.03421,0.000424838,0.000424838,0.000424838
4,16.7617,0.6663,1.62232,1.02562,0.96688,0.32729,0.7255,0.57106,0.76722,2.34893,1.1113,0.000566122,0.000566122,0.000566122
5,20.4477,0.73196,1.38344,1.01886,1,0.35846,0.78099,0.68629,0.73532,2.20175,1.12734,0.000704434,0.000704434,0.000704434
6,24.5367,0.76159,1.54602,1.08994,0.90984,0.45139,0.75219,0.63424,0.85705,2.11202,1.18539,0.000839776,0.000839776,0.000839776
7,29.034,0.75471,1.53956,1.06005,0.94303,0.52085,0.78178,0.63681,0.6559,1.94665,1.09125,0.000972148,0.000972148,0.000972148
8,32.9713,0.77755,1.49843,1.10213,0.8302,0.67431,0.86443,0.6843,0.75622,1.79705,1.1464,0.00110155,0.00110155,0.00110155
9,36.4514,0.72409,1.49873,1.08817,0.90228,0.7,0.87538,0.68179,0.91469,1.63977,1.19249,0.00122798,0.00122798,0.00122798
10,39.9499,0.81205,1.50803,1.13795,0.76432,0.78801,0.86408,0.62538,0.85792,1.5188,1.12201,0.00135144,0.00135144,0.00135144
11,43.5455,0.77878,1.50633,1.06889,0.71787,0.66203,0.74143,0.50275,0.91217,1.69005,1.09558,0.00147193,0.00147193,0.00147193
12,47.0657,0.79562,1.59119,1.10704,0.79066,0.72764,0.83994,0.58151,0.90991,1.50094,1.16973,0.00148546,0.00148546,0.00148546
13,50.5382,0.7497,1.44965,1.09026,0.79701,0.78604,0.87815,0.68339,0.85558,1.38539,1.22302,0.00146896,0.00146896,0.00146896
14,53.7349,0.76388,1.42038,1.07772,0.72405,0.80829,0.78341,0.57883,0.93888,1.79298,1.35931,0.00145246,0.00145246,0.00145246
15,58.319,0.78465,1.39942,1.08802,0.831,0.69635,0.84195,0.6107,0.8723,1.55023,1.23825,0.00143595,0.00143595,0.00143595
16,62.7365,0.73312,1.37398,1.06855,0.65309,0.82876,0.76902,0.55076,0.85283,1.91294,1.23414,0.00141945,0.00141945,0.00141945
17,66.6126,0.72618,1.3575,1.05717,0.258,0.33333,0.21976,0.17232,0.96784,4.91888,1.41476,0.00140295,0.00140295,0.00140295
18,70.6054,0.80834,1.33084,1.08343,0.71061,0.5,0.52566,0.41829,0.90955,2.1755,1.28084,0.00138644,0.00138644,0.00138644
19,74.5217,0.71694,1.14387,1.02333,0.86811,0.86466,0.90832,0.67982,0.8294,1.2166,1.06469,0.00136994,0.00136994,0.00136994
20,78.4886,0.79349,1.21666,1.13062,0.91612,0.88257,0.95343,0.71618,0.80906,1.28776,1.08281,0.00135344,0.00135344,0.00135344
21,82.3727,0.65551,1.0907,1.00655,0.85171,0.9,0.92412,0.70462,0.78277,1.38253,1.09577,0.00133693,0.00133693,0.00133693
22,86.6321,0.72504,1.14639,1.05092,0.83862,0.92814,0.94962,0.67908,0.8613,1.55968,1.15759,0.00132043,0.00132043,0.00132043
23,90.7105,0.73493,1.19792,1.05551,0.75892,0.84888,0.87468,0.64813,0.82937,1.53276,1.17309,0.00130393,0.00130393,0.00130393
24,94.7574,0.72226,1.1807,1.0479,0.88814,0.89354,0.93602,0.73485,0.81736,1.16757,1.20273,0.00128742,0.00128742,0.00128742
25,98.8928,0.72124,1.16938,1.09232,0.93027,0.86189,0.93792,0.74997,0.74741,0.99999,1.05205,0.00127092,0.00127092,0.00127092
26,102.886,0.69871,1.07129,1.0286,0.90653,0.89091,0.94946,0.76466,0.70774,1.04269,1.00762,0.00125442,0.00125442,0.00125442
27,107.494,0.66995,1.07816,1.04331,0.92392,0.81702,0.94231,0.75789,0.73065,1.24025,1.04629,0.00123791,0.00123791,0.00123791
28,111.41,0.69471,1.05417,1.04164,0.85885,0.86043,0.96125,0.77504,0.744,1.33141,1.05019,0.00122141,0.00122141,0.00122141
29,115.251,0.62313,0.98769,0.98566,0.98522,0.81215,0.95278,0.79136,0.70982,1.24877,1.01859,0.00120491,0.00120491,0.00120491
30,118.844,0.66674,1.11791,1.0194,0.94986,0.83443,0.95673,0.75455,0.72865,1.19692,1.0443,0.0011884,0.0011884,0.0011884
31,122.093,0.66007,0.98322,1.01081,0.88351,0.92255,0.95397,0.7971,0.66291,1.00936,1.0175,0.0011719,0.0011719,0.0011719
32,125.617,0.63169,0.95057,1.01026,0.9534,0.9,0.97877,0.8188,0.63816,0.91897,0.99052,0.0011554,0.0011554,0.0011554
33,129,0.70629,1.02562,1.06445,0.93453,0.98294,0.98906,0.81744,0.62954,0.89851,0.95962,0.00113889,0.00113889,0.00113889
34,133.082,0.61495,0.91336,0.97199,0.89859,1,0.98687,0.80856,0.6229,0.88423,0.95103,0.00112239,0.00112239,0.00112239
35,136.601,0.62306,0.89334,1.02056,0.9133,1,0.98062,0.82449,0.57061,0.81151,0.94812,0.00110589,0.00110589,0.00110589
